day,hour,zone,temperature,humidity,soil_moisture,light,leaf_spot_score,true_state,predicted_state,risk_score
1,10,D-field,28.72,60.79,66.62,75.98,0.01,healthy,healthy,0.002
1,11,A-greenhouse,29.15,61.63,70.72,80.21,0.045,healthy,healthy,0.016
1,11,B-greenhouse,29.62,61.27,68.87,80.88,0.057,healthy,healthy,0.032
1,11,C-field,29.7,60.27,69.38,82.6,0.067,healthy,healthy,0.037
1,11,D-field,29.31,59.31,66.39,80.43,0,healthy,healthy,0.009
1,12,A-greenhouse,28.94,59.25,69.58,84.11,0,healthy,healthy,0.0
1,12,B-greenhouse,30.0,57.98,66.56,85.43,0.047,healthy,healthy,0.041
1,12,C-field,30.0,58.78,68.72,83.96,0.018,healthy,healthy,0.034
1,12,D-field,29.98,58.87,64.8,82.64,0.065,healthy,healthy,0.045
1,13,A-greenhouse,28.67,57.2,71.1,80.15,0.026,healthy,healthy,0.006
1,13,B-greenhouse,29.44,57.45,67.77,80.72,0.027,healthy,healthy,0.02
1,13,C-field,29.73,57.99,68.51,83.73,0.049,healthy,healthy,0.033
1,13,D-field,29.37,56.62,67.96,79.91,0,healthy,healthy,0.011
1,14,A-greenhouse,28.7,58.89,70.32,75.4,0,healthy,healthy,0.0
1,14,B-greenhouse,28.28,57.74,68.68,75.3,0,healthy,healthy,0.0
1,14,C-field,28.47,55.87,66.5,73.95,0,healthy,healthy,0.0
1,14,D-field,29.5,57.09,67.99,74.53,0,healthy,healthy,0.015
1,15,A-greenhouse,26.6,57.39,70.04,65.56,0.0,healthy,healthy,0.0
1,15,B-greenhouse,27.84,58.61,70.69,63.84,0,healthy,healthy,0.0
1,15,C-field,28.05,58.16,67.83,65.48,0,healthy,healthy,0.0
1,15,D-field,27.59,57.08,67.12,65.11,0.005,healthy,healthy,0.001
1,16,A-greenhouse,25.03,58.29,70.89,53.82,0,healthy,healthy,0.0
1,16,B-greenhouse,25.85,59.54,68.32,50.42,0.023,healthy,healthy,0.006
1,16,C-field,26.02,58.31,67.93,53.01,0,healthy,healthy,0.0
1,16,D-field,26.8,58.31,65.36,53.92,0,healthy,healthy,0.0
1,17,A-greenhouse,24.23,61.73,71.18,35.0,0,healthy,healthy,0.0
1,17,B-greenhouse,23.8,60.92,68.28,34.95,0,healthy,healthy,0.0
1,17,C-field,23.82,59.96,70.02,38.43,0,healthy,healthy,0.0
1,17,D-field,24.88,58.78,68.4,37.54,0,healthy,healthy,0.0
1,18,A-greenhouse,22.27,63.3,69.29,19.88,0.006,healthy,healthy,0.001
1,18,B-greenhouse,22.47,62.71,68.26,17.08,0,healthy,healthy,0.0
1,18,C-field,22.34,60.99,69.24,19.72,0,healthy,healthy,0.0
1,18,D-field,22.74,61.37,68.35,19.51,0,healthy,healthy,0.0
1,19,A-greenhouse,19.9,65.24,71.61,1.57,0,healthy,healthy,0.0
1,19,B-greenhouse,20.47,65.23,69.07,0.7,0,healthy,healthy,0.0
1,19,C-field,20.68,63.9,68.97,-1.34,0,healthy,healthy,0.0
1,19,D-field,21.0,64.28,65.71,-1.45,0,healthy,healthy,0.0
1,20,A-greenhouse,18.2,68.29,69.06,-1.48,0,healthy,healthy,0.0
1,20,B-greenhouse,19.25,66.93,67.81,-0.58,0,healthy,healthy,0.0
1,20,C-field,18.21,67.9,70.29,1.7,0,healthy,healthy,0.0
1,20,D-field,19.86,65.99,66.25,1.95,0,healthy,healthy,0.0
1,21,A-greenhouse,16.7,70.24,70.52,-1.2,0,healthy,healthy,0.0
1,21,B-greenhouse,17.03,71.2,69.87,1.71,0.008,healthy,healthy,0.002
1,21,C-field,16.99,69.5,68.1,-1.76,0,healthy,healthy,0.0
1,21,D-field,18.34,70.23,67.64,-0.23,0,healthy,healthy,0.0
1,22,A-greenhouse,15.83,72.97,71.8,0.58,0,healthy,healthy,0.0
1,22,B-greenhouse,16.64,73.08,69.37,-0.0,0.012,healthy,healthy,0.003
1,22,C-field,16.15,72.75,67.35,0.99,0,healthy,healthy,0.0
1,22,D-field,16.23,72.74,68.34,1.83,0,healthy,healthy,0.0
1,23,A-greenhouse,15.45,76.25,69.24,-1.29,0.03,healthy,healthy,0.007
1,23,B-greenhouse,15.47,73.4,69.7,-1.62,0.007,healthy,healthy,0.002
1,23,C-field,15.67,73.33,69.48,-0.12,0,healthy,healthy,0.0
1,23,D-field,16.55,73.59,67.04,0.13,0.005,healthy,healthy,0.001
2,0,A-greenhouse,15.73,77.15,68.96,0.88,0.013,healthy,healthy,0.003
2,0,B-greenhouse,15.59,76.4,68.58,-1.63,0.02,healthy,healthy,0.005
2,0,C-field,15.47,76.17,70.27,0.64,0.027,healthy,healthy,0.007
2,0,D-field,14.97,75.05,67.69,1.69,0,healthy,healthy,0.0
2,1,A-greenhouse,15.61,78.16,71.92,-0.5,0.037,healthy,healthy,0.009
2,1,B-greenhouse,15.68,78.29,70.4,0.45,0.06,healthy,healthy,0.015
2,1,C-field,16.29,76.5,68.93,0.3,0.02,healthy,healthy,0.005
2,1,D-field,15.3,76.03,66.01,-1.96,0,healthy,healthy,0.0
2,2,A-greenhouse,15.24,77.95,72.05,-1.85,0.051,healthy,healthy,0.013
2,2,B-greenhouse,16.26,77.2,69.25,-0.54,0.019,healthy,healthy,0.005
2,2,C-field,16.71,76.24,68.76,1.96,0.05,healthy,healthy,0.013
2,2,D-field,17.27,76.97,67.88,0.28,0.06,healthy,healthy,0.015
2,3,A-greenhouse,16.32,76.79,70.29,1.93,0,healthy,healthy,0.0
2,3,B-greenhouse,17.46,77.07,71.34,-0.63,0.043,healthy,healthy,0.011
2,3,C-field,17.56,76.27,67.39,-0.6,0.072,healthy,healthy,0.018
2,3,D-field,17.29,76.0,68.97,1.51,0.006,healthy,healthy,0.001
2,4,A-greenhouse,18.17,77.49,70.49,-1.56,0.037,healthy,healthy,0.009
2,4,B-greenhouse,18.34,76.73,69.0,1.08,0.087,healthy,healthy,0.022
2,4,C-field,18.39,75.96,68.05,1.04,0.05,healthy,healthy,0.013
2,4,D-field,19.53,75.56,68.63,-0.09,0.08,healthy,healthy,0.02
2,5,A-greenhouse,20.4,74.7,69.17,-1.46,0.079,healthy,healthy,0.02
2,5,B-greenhouse,20.68,75.44,69.95,-1.59,0.058,healthy,healthy,0.015
2,5,C-field,20.3,74.73,67.24,0.85,0.067,healthy,healthy,0.017
2,5,D-field,21.49,74.56,67.46,0.95,0.105,healthy,healthy,0.026
2,6,A-greenhouse,21.41,73.28,72.61,19.81,0.093,healthy,healthy,0.023
2,6,B-greenhouse,22.9,71.46,72.09,18.59,0.091,healthy,healthy,0.023
2,6,C-field,23.09,72.36,71.04,17.26,0.08,healthy,healthy,0.02
2,6,D-field,23.05,71.87,66.99,18.99,0.048,healthy,healthy,0.012
2,7,A-greenhouse,24.37,71.56,73.26,34.98,0.107,healthy,healthy,0.027
2,7,B-greenhouse,23.86,69.65,70.05,34.55,0.079,healthy,healthy,0.02
2,7,C-field,24.96,69.01,68.07,37.17,0.034,healthy,healthy,0.009
2,7,D-field,24.26,68.35,67.82,35.1,0.02,healthy,healthy,0.005
2,8,A-greenhouse,24.74,68.22,70.38,52.88,0.079,healthy,healthy,0.02
2,8,B-greenhouse,25.11,68.23,71.47,51.59,0.068,healthy,healthy,0.017
2,8,C-field,26.77,66.26,70.53,53.69,0.058,healthy,healthy,0.014
2,8,D-field,25.68,67.73,68.83,51.92,0.076,healthy,healthy,0.019
2,9,A-greenhouse,27.19,64.34,70.08,63.76,0.03,healthy,healthy,0.008
2,9,B-greenhouse,27.83,65.1,69.92,64.44,0.049,healthy,healthy,0.012
2,9,C-field,27.02,63.86,67.66,65.33,0.042,healthy,healthy,0.011
2,9,D-field,28.12,65.04,68.31,65.88,0.093,healthy,healthy,0.023
2,10,A-greenhouse,28.78,63.89,71.84,74.75,0.039,healthy,healthy,0.01
2,10,B-greenhouse,28.12,62.68,71.49,74.22,0.077,healthy,healthy,0.019
2,10,C-field,28.25,61.11,69.78,73.81,0.009,healthy,healthy,0.002
2,10,D-field,29.42,61.47,68.59,76.29,0.021,healthy,healthy,0.018
2,11,A-greenhouse,28.54,60.35,72.23,80.35,0.036,healthy,healthy,0.009
2,11,B-greenhouse,28.51,60.18,71.02,83.45,0.002,healthy,healthy,0.0
2,11,C-field,29.83,59.14,70.77,83.52,0.024,healthy,healthy,0.03
2,11,D-field,29.51,59.11,70.0,80.98,0.047,healthy,healthy,0.027
2,12,A-greenhouse,29.7,60.19,71.9,85.76,0.065,healthy,healthy,0.037
2,12,B-greenhouse,29.76,59.38,71.92,84.68,0.008,healthy,healthy,0.024
2,12,C-field,29.12,57.73,70.77,85.22,0.007,healthy,healthy,0.005
2,12,D-field,30.11,58.45,68.49,84.4,0.042,healthy,healthy,0.043
2,13,A-greenhouse,28.66,59.35,72.04,80.58,0,healthy,healthy,0.0
2,13,B-greenhouse,29.29,58.16,70.71,82.48,0.0,healthy,healthy,0.009
2,13,C-field,29.04,56.61,68.92,81.72,0,healthy,healthy,0.001
2,13,D-field,29.32,57.97,67.01,83.1,0,healthy,healthy,0.009
2,14,A-greenhouse,28.52,59.08,72.79,77.11,0.036,healthy,healthy,0.009
2,14,B-greenhouse,28.07,58.17,71.43,77.07,0,healthy,healthy,0.0
2,14,C-field,28.64,57.58,71.31,75.43,0.023,healthy,healthy,0.006
2,14,D-field,28.67,57.27,67.48,75.73,0,healthy,healthy,0.0
2,15,A-greenhouse,27.34,58.91,70.16,64.29,0.032,healthy,healthy,0.008
2,15,B-greenhouse,26.73,57.65,71.02,67.28,0,healthy,healthy,0.0
2,15,C-field,28.21,57.93,71.8,65.59,0,healthy,healthy,0.0
2,15,D-field,27.24,58.05,67.85,65.3,0,healthy,healthy,0.0
2,16,A-greenhouse,25.73,59.94,70.67,50.65,0,healthy,healthy,0.0
2,16,B-greenhouse,25.94,59.62,70.13,51.85,0.004,healthy,healthy,0.001
2,16,C-field,25.96,58.32,67.94,50.67,0,healthy,healthy,0.0
2,16,D-field,25.8,56.78,70.6,51.94,0,healthy,healthy,0.0
2,17,A-greenhouse,24.44,60.12,72.5,37.74,0,healthy,healthy,0.0
2,17,B-greenhouse,23.29,59.79,71.67,36.82,0,healthy,healthy,0.0
2,17,C-field,23.51,59.03,69.72,34.51,0,healthy,healthy,0.0
2,17,D-field,24.19,59.62,68.67,38.23,0.003,healthy,healthy,0.001
2,18,A-greenhouse,21.87,63.07,73.21,19.67,0,healthy,healthy,0.0
2,18,B-greenhouse,22.15,63.32,72.34,19.75,0.009,healthy,healthy,0.002
2,18,C-field,22.19,60.94,69.11,19.69,0,healthy,healthy,0.0
2,18,D-field,22.66,62.56,68.36,17.14,0,healthy,healthy,0.0
2,19,A-greenhouse,19.7,65.58,70.81,-0.96,0,healthy,healthy,0.0
2,19,B-greenhouse,20.77,65.47,70.79,-0.36,0,healthy,healthy,0.0
2,19,C-field,20.78,65.15,68.65,0.15,0,healthy,healthy,0.0
2,19,D-field,21.45,64.47,69.06,1.31,0,healthy,healthy,0.0
2,20,A-greenhouse,18.4,66.95,71.65,1.24,0,healthy,healthy,0.0
2,20,B-greenhouse,18.7,67.72,70.08,-1.47,0,healthy,healthy,0.0
2,20,C-field,19.43,67.56,68.68,-1.54,0,healthy,healthy,0.0
2,20,D-field,19.27,65.92,70.25,0.99,0,healthy,healthy,0.0
2,21,A-greenhouse,17.45,69.97,73.01,-0.35,0,healthy,healthy,0.0
2,21,B-greenhouse,18.02,71.06,72.51,0.21,0.001,healthy,healthy,0.0
2,21,C-field,17.04,70.08,70.42,0.11,0,healthy,healthy,0.0
2,21,D-field,17.13,68.25,68.11,1.14,0,healthy,healthy,0.0
2,22,A-greenhouse,15.82,73.87,71.95,-1.43,0,healthy,healthy,0.0
2,22,B-greenhouse,15.97,73.14,72.21,-1.16,0.013,healthy,healthy,0.003
2,22,C-field,16.97,71.38,70.63,0.68,0.005,healthy,healthy,0.001
2,22,D-field,16.05,72.04,69.31,0.32,0,healthy,healthy,0.0
2,23,A-greenhouse,15.65,74.2,70.65,0.66,0,healthy,healthy,0.0
2,23,B-greenhouse,15.02,75.22,71.67,1.86,0.009,healthy,healthy,0.002
2,23,C-field,16.12,75.18,71.56,-0.4,0,healthy,healthy,0.0
2,23,D-field,15.41,73.57,69.36,1.44,0,healthy,healthy,0.0
3,0,A-greenhouse,15.3,75.84,70.06,-1.71,0.0,healthy,healthy,0.0
3,0,B-greenhouse,15.54,76.85,69.96,-0.04,0.022,healthy,healthy,0.006
3,0,C-field,14.69,75.96,69.66,0.42,0,healthy,healthy,0.0
3,0,D-field,16.27,74.49,69.56,-1.18,0,healthy,healthy,0.0
3,1,A-greenhouse,15.9,77.64,70.58,1.81,0.026,healthy,healthy,0.007
3,1,B-greenhouse,16.22,76.74,69.63,1.46,0.01,healthy,healthy,0.003
3,1,C-field,15.05,76.86,68.83,-0.63,0.001,healthy,healthy,0.0
3,1,D-field,15.37,75.48,69.07,-1.9,0,healthy,healthy,0.0
3,2,A-greenhouse,15.61,79.05,73.1,-1.93,0.021,healthy,healthy,0.005
3,2,B-greenhouse,16.97,78.11,72.61,0.94,0.039,healthy,healthy,0.01
3,2,C-field,16.93,77.67,70.94,-0.03,0.055,healthy,healthy,0.014
3,2,D-field,16.71,76.44,71.0,-0.34,0,healthy,healthy,0.0
3,3,A-greenhouse,17.51,77.49,72.12,-1.76,0.016,healthy,healthy,0.004
3,3,B-greenhouse,17.7,76.14,71.72,-0.34,0.012,healthy,healthy,0.003
3,3,C-field,17.5,76.82,68.78,-1.59,0.045,healthy,healthy,0.011
3,3,D-field,18.31,76.63,67.47,-1.04,0.042,healthy,healthy,0.01
3,4,A-greenhouse,18.01,77.3,70.43,-1.02,0.035,healthy,healthy,0.009
3,4,B-greenhouse,18.02,75.81,70.96,1.48,0.055,healthy,healthy,0.014
3,4,C-field,18.52,75.79,69.65,-1.62,0.045,healthy,healthy,0.011
3,4,D-field,18.5,75.33,67.2,-0.37,0.036,healthy,healthy,0.009
3,5,A-greenhouse,19.79,75.34,72.93,-0.29,0.039,healthy,healthy,0.01
3,5,B-greenhouse,20.83,74.01,72.47,1.14,0.025,healthy,healthy,0.006
3,5,C-field,20.41,74.58,70.41,1.78,0.039,healthy,healthy,0.01
3,5,D-field,21.19,73.44,70.72,0.42,0.049,healthy,healthy,0.012
3,6,A-greenhouse,22.36,72.9,73.0,19.15,0.099,healthy,healthy,0.025
3,6,B-greenhouse,22.8,73.01,71.65,17.77,0.104,healthy,healthy,0.026
3,6,C-field,21.92,71.22,70.88,20.59,0.026,healthy,healthy,0.007
3,6,D-field,22.01,72.66,69.68,20.28,0.092,healthy,healthy,0.023
3,7,A-greenhouse,23.93,69.41,73.41,37.75,0.065,healthy,healthy,0.016
3,7,B-greenhouse,23.72,70.66,69.24,36.88,0.042,healthy,healthy,0.01
3,7,C-field,23.55,68.56,70.47,35.43,0.03,healthy,healthy,0.008
3,7,D-field,25.0,69.2,67.48,36.85,0.083,healthy,healthy,0.021
3,8,A-greenhouse,25.7,68.51,73.76,53.42,0.057,healthy,healthy,0.014
3,8,B-greenhouse,26.09,67.44,70.18,52.96,0.086,healthy,healthy,0.022
3,8,C-field,26.65,68.03,69.0,53.65,0.079,healthy,healthy,0.02
3,8,D-field,26.9,66.04,70.86,53.13,0.062,healthy,healthy,0.016
3,9,A-greenhouse,27.54,66.58,73.9,67.25,0.046,healthy,healthy,0.012
3,9,B-greenhouse,27.24,65.37,69.42,63.82,0.068,healthy,healthy,0.017
3,9,C-field,28.02,64.23,71.69,64.47,0.08,healthy,healthy,0.02
3,9,D-field,27.91,64.28,69.99,64.73,0.082,healthy,healthy,0.02
3,10,A-greenhouse,27.55,62.49,71.62,76.6,0.003,healthy,healthy,0.001
3,10,B-greenhouse,28.35,63.47,69.04,77.01,0.057,healthy,healthy,0.014
3,10,C-field,27.82,62.95,68.88,74.2,0.035,healthy,healthy,0.009
3,10,D-field,29.58,60.58,67.05,76.43,0.038,healthy,healthy,0.026
3,11,A-greenhouse,29.39,61.8,72.75,83.46,0.066,healthy,healthy,0.028
3,11,B-greenhouse,29.37,59.59,71.33,83.06,0.053,healthy,healthy,0.024
3,11,C-field,28.93,59.79,69.87,80.54,0.001,healthy,healthy,0.0
3,11,D-field,29.26,59.87,68.71,80.24,0.018,healthy,healthy,0.012
3,12,A-greenhouse,28.47,60.19,72.3,84.94,0.008,healthy,healthy,0.002
3,12,B-greenhouse,30.02,57.79,69.99,85.62,0.011,healthy,healthy,0.032
3,12,C-field,31.29,65.37,55.23,84.81,0.212,watch,review,0.183
3,12,D-field,30.38,56.78,68.24,85.24,0.035,healthy,healthy,0.049
3,13,A-greenhouse,29.07,57.47,72.21,80.93,0.008,healthy,healthy,0.004
3,13,B-greenhouse,29.34,58.81,70.22,83.78,0.044,healthy,healthy,0.021
3,13,C-field,32.51,64.12,57.33,82.9,0.235,watch,review,0.197
3,13,D-field,29.81,57.79,67.19,81.42,0.015,healthy,healthy,0.027
3,14,A-greenhouse,27.41,57.17,73.69,76.87,0,healthy,healthy,0.0
3,14,B-greenhouse,27.84,57.75,70.92,75.65,0.023,healthy,healthy,0.006
3,14,C-field,31.39,63.36,56.6,77.09,0.164,healthy,watch,0.156
3,14,D-field,28.38,57.2,68.94,74.95,0,healthy,healthy,0.0
3,15,A-greenhouse,26.78,59.17,73.1,64.33,0.028,healthy,healthy,0.007
3,15,B-greenhouse,27.59,57.25,71.51,66.21,0.012,healthy,healthy,0.003
3,15,C-field,30.48,63.31,58.7,66.25,0.192,healthy,watch,0.109
3,15,D-field,28.35,57.73,68.4,66.3,0,healthy,healthy,0.0
3,16,A-greenhouse,25.97,60.2,70.55,53.94,0,healthy,healthy,0.0
3,16,B-greenhouse,25.26,57.79,69.59,53.33,0,healthy,healthy,0.0
3,16,C-field,28.22,64.47,58.11,53.6,0.18,healthy,healthy,0.07
3,16,D-field,26.19,58.89,68.58,51.12,0,healthy,healthy,0.0
3,17,A-greenhouse,23.35,61.84,72.55,34.93,0,healthy,healthy,0.0
3,17,B-greenhouse,24.78,60.79,69.78,35.49,0.008,healthy,healthy,0.002
3,17,C-field,26.93,66.05,57.39,34.52,0.131,healthy,healthy,0.068
3,17,D-field,25.32,58.88,68.76,37.17,0,healthy,healthy,0.0
3,18,A-greenhouse,21.41,62.64,73.06,17.77,0,healthy,healthy,0.0
3,18,B-greenhouse,21.83,63.17,70.8,20.49,0,healthy,healthy,0.0
3,18,C-field,24.51,68.96,56.45,18.68,0.157,healthy,healthy,0.087
3,18,D-field,23.28,62.74,68.07,17.57,0,healthy,healthy,0.0
3,19,A-greenhouse,19.52,65.47,73.0,-0.58,0,healthy,healthy,0.0
3,19,B-greenhouse,21.04,65.92,68.85,1.7,0,healthy,healthy,0.0
3,19,C-field,20.81,63.54,69.22,-1.31,0,healthy,healthy,0.0
3,19,D-field,21.24,64.88,69.24,0.92,0.013,healthy,healthy,0.003
3,20,A-greenhouse,17.91,67.06,72.07,1.08,0,healthy,healthy,0.0
3,20,B-greenhouse,18.53,66.59,72.39,-0.0,0,healthy,healthy,0.0
3,20,C-field,19.72,66.6,71.43,-0.19,0,healthy,healthy,0.0
3,20,D-field,19.02,65.73,68.69,-0.27,0,healthy,healthy,0.0
3,21,A-greenhouse,17.7,71.04,69.51,1.54,0.01,healthy,healthy,0.003
3,21,B-greenhouse,17.41,69.38,72.18,-0.47,0,healthy,healthy,0.0
3,21,C-field,18.21,70.67,67.7,1.5,0,healthy,healthy,0.0
3,21,D-field,18.27,69.5,67.99,0.25,0,healthy,healthy,0.0
3,22,A-greenhouse,16.12,71.8,69.53,-1.41,0,healthy,healthy,0.0
3,22,B-greenhouse,16.97,73.0,69.38,1.86,0,healthy,healthy,0.0
3,22,C-field,16.42,72.67,68.97,0.41,0,healthy,healthy,0.0
3,22,D-field,15.89,72.71,68.43,-1.49,0.007,healthy,healthy,0.002
3,23,A-greenhouse,15.69,76.04,72.22,-0.55,0.012,healthy,healthy,0.003
3,23,B-greenhouse,15.97,75.07,69.49,-0.32,0.043,healthy,healthy,0.011
3,23,C-field,15.59,74.88,69.02,1.12,0,healthy,healthy,0.0
3,23,D-field,16.63,74.56,69.53,-0.34,0.018,healthy,healthy,0.004
4,0,A-greenhouse,15.21,77.09,71.54,-0.04,0.022,healthy,healthy,0.006
4,0,B-greenhouse,15.68,77.32,69.7,1.64,0.017,healthy,healthy,0.004
4,0,C-field,14.84,76.37,69.5,-0.5,0.004,healthy,healthy,0.001
4,0,D-field,15.66,75.95,68.12,0.33,0.049,healthy,healthy,0.012
4,1,A-greenhouse,14.73,77.21,70.64,-1.66,0.001,healthy,healthy,0.0
4,1,B-greenhouse,14.91,78.18,69.18,1.35,0.027,healthy,healthy,0.007
4,1,C-field,15.8,76.05,70.27,-1.13,0.048,healthy,healthy,0.012
4,1,D-field,16.34,76.35,68.57,-1.68,0.038,healthy,healthy,0.009
4,2,A-greenhouse,16.0,79.03,69.32,-0.51,0.033,healthy,healthy,0.008
4,2,B-greenhouse,15.6,77.83,68.63,-1.57,0.018,healthy,healthy,0.004
4,2,C-field,16.51,77.15,67.31,-1.44,0.01,healthy,healthy,0.003
4,2,D-field,16.23,75.38,66.43,-1.44,0.034,healthy,healthy,0.008
4,3,A-greenhouse,16.74,78.4,69.9,-1.05,0.06,healthy,healthy,0.015
4,3,B-greenhouse,17.12,77.4,70.88,0.79,0.066,healthy,healthy,0.016
4,3,C-field,17.34,75.75,68.62,1.48,0.008,healthy,healthy,0.002
4,3,D-field,17.81,75.98,66.25,0.55,0.035,healthy,healthy,0.009
4,4,A-greenhouse,18.2,75.73,72.09,1.36,0.075,healthy,healthy,0.019
4,4,B-greenhouse,19.23,76.66,68.86,1.06,0.084,healthy,healthy,0.021
4,4,C-field,18.62,76.41,69.21,1.98,0.083,healthy,healthy,0.021
4,4,D-field,19.08,76.11,67.98,-1.2,0.051,healthy,healthy,0.013
4,5,A-greenhouse,20.98,74.64,70.72,-0.96,0.093,healthy,healthy,0.023
4,5,B-greenhouse,20.64,73.62,68.02,-1.21,0.063,healthy,healthy,0.016
4,5,C-field,20.91,73.6,70.48,-1.72,0.056,healthy,healthy,0.014
4,5,D-field,20.96,74.01,69.47,0.52,0.059,healthy,healthy,0.015
4,6,A-greenhouse,21.86,72.81,72.72,19.3,0.094,healthy,healthy,0.024
4,6,B-greenhouse,22.3,72.97,71.61,17.62,0.055,healthy,healthy,0.014
4,6,C-field,22.06,71.71,68.84,20.36,0.086,healthy,healthy,0.021
4,6,D-field,23.01,72.59,68.93,19.47,0.04,healthy,healthy,0.01
4,7,A-greenhouse,23.52,70.89,71.89,38.27,0.031,healthy,healthy,0.008
4,7,B-greenhouse,23.86,70.32,68.68,34.98,0.073,healthy,healthy,0.018
4,7,C-field,24.39,68.45,66.96,35.35,0.02,healthy,healthy,0.005
4,7,D-field,25.32,69.79,69.1,36.33,0.061,healthy,healthy,0.015
4,8,A-greenhouse,25.67,67.22,72.4,51.54,0.085,healthy,healthy,0.021
4,8,B-greenhouse,25.09,66.38,68.3,51.49,0.035,healthy,healthy,0.009
4,8,C-field,26.26,67.57,68.32,53.44,0.065,healthy,healthy,0.016
4,8,D-field,26.94,66.45,66.45,52.21,0.039,healthy,healthy,0.01
4,9,A-greenhouse,27.33,65.21,69.92,65.43,0.087,healthy,healthy,0.022
4,9,B-greenhouse,26.98,66.12,70.63,67.5,0.093,healthy,healthy,0.023
4,9,C-field,27.6,63.86,67.71,66.3,0.074,healthy,healthy,0.018
4,9,D-field,27.13,63.82,68.52,64.86,0.049,healthy,healthy,0.012
4,10,A-greenhouse,27.98,62.64,68.73,76.7,0.076,healthy,healthy,0.019
4,10,B-greenhouse,28.2,61.97,68.5,76.76,0.051,healthy,healthy,0.013
4,10,C-field,28.65,62.96,70.48,74.49,0.025,healthy,healthy,0.006
4,10,D-field,28.62,62.34,66.26,75.67,0.053,healthy,healthy,0.013
4,11,A-greenhouse,28.89,60.5,69.56,81.05,0.041,healthy,healthy,0.01
