day,hour,zone,risk_score,action
2,3,B-greenhouse,0.011,No action
2,3,C-field,0.018,No action
2,3,D-field,0.001,No action
2,4,A-greenhouse,0.009,No action
2,4,B-greenhouse,0.022,No action
2,4,C-field,0.013,No action
2,4,D-field,0.02,No action
2,5,A-greenhouse,0.02,No action
2,5,B-greenhouse,0.015,No action
2,5,C-field,0.017,No action
2,5,D-field,0.026,No action
2,6,A-greenhouse,0.023,No action
2,6,B-greenhouse,0.023,No action
2,6,C-field,0.02,No action
2,6,D-field,0.012,No action
2,7,A-greenhouse,0.027,No action
2,7,B-greenhouse,0.02,No action
2,7,C-field,0.009,No action
2,7,D-field,0.005,No action
2,8,A-greenhouse,0.02,No action
2,8,B-greenhouse,0.017,No action
2,8,C-field,0.014,No action
2,8,D-field,0.019,No action
2,9,A-greenhouse,0.008,No action
2,9,B-greenhouse,0.012,No action
2,9,C-field,0.011,No action
2,9,D-field,0.023,No action
2,10,A-greenhouse,0.01,No action
2,10,B-greenhouse,0.019,No action
2,10,C-field,0.002,No action
2,10,D-field,0.018,No action
2,11,A-greenhouse,0.009,No action
2,11,B-greenhouse,0.0,No action
2,11,C-field,0.03,No action
2,11,D-field,0.027,No action
2,12,A-greenhouse,0.037,No action
2,12,B-greenhouse,0.024,No action
2,12,C-field,0.005,No action
2,12,D-field,0.043,No action
2,13,A-greenhouse,0.0,No action
2,13,B-greenhouse,0.009,No action
2,13,C-field,0.001,No action
2,13,D-field,0.009,No action
2,14,A-greenhouse,0.009,No action
2,14,B-greenhouse,0.0,No action
2,14,C-field,0.006,No action
2,14,D-field,0.0,No action
2,15,A-greenhouse,0.008,No action
2,15,B-greenhouse,0.0,No action
2,15,C-field,0.0,No action
2,15,D-field,0.0,No action
2,16,A-greenhouse,0.0,No action
2,16,B-greenhouse,0.001,No action
2,16,C-field,0.0,No action
2,16,D-field,0.0,No action
2,17,A-greenhouse,0.0,No action
2,17,B-greenhouse,0.0,No action
2,17,C-field,0.0,No action
2,17,D-field,0.001,No action
2,18,A-greenhouse,0.0,No action
2,18,B-greenhouse,0.002,No action
2,18,C-field,0.0,No action
2,18,D-field,0.0,No action
2,19,A-greenhouse,0.0,No action
2,19,B-greenhouse,0.0,No action
2,19,C-field,0.0,No action
2,19,D-field,0.0,No action
2,20,A-greenhouse,0.0,No action
2,20,B-greenhouse,0.0,No action
2,20,C-field,0.0,No action
2,20,D-field,0.0,No action
2,21,A-greenhouse,0.0,No action
2,21,B-greenhouse,0.0,No action
2,21,C-field,0.0,No action
2,21,D-field,0.0,No action
2,22,A-greenhouse,0.0,No action
2,22,B-greenhouse,0.003,No action
2,22,C-field,0.001,No action
2,22,D-field,0.0,No action
2,23,A-greenhouse,0.0,No action
2,23,B-greenhouse,0.002,No action
2,23,C-field,0.0,No action
2,23,D-field,0.0,No action
3,0,A-greenhouse,0.0,No action
3,0,B-greenhouse,0.006,No action
3,0,C-field,0.0,No action
3,0,D-field,0.0,No action
3,1,A-greenhouse,0.007,No action
3,1,B-greenhouse,0.003,No action
3,1,C-field,0.0,No action
3,1,D-field,0.0,No action
3,2,A-greenhouse,0.005,No action
3,2,B-greenhouse,0.01,No action
3,2,C-field,0.014,No action
3,2,D-field,0.0,No action
3,3,A-greenhouse,0.004,No action
3,3,B-greenhouse,0.003,No action
3,3,C-field,0.011,No action
3,3,D-field,0.01,No action
3,4,A-greenhouse,0.009,No action
3,4,B-greenhouse,0.014,No action
3,4,C-field,0.011,No action
3,4,D-field,0.009,No action
3,5,A-greenhouse,0.01,No action
3,5,B-greenhouse,0.006,No action
3,5,C-field,0.01,No action
3,5,D-field,0.012,No action
3,6,A-greenhouse,0.025,No action
3,6,B-greenhouse,0.026,No action
3,6,C-field,0.007,No action
3,6,D-field,0.023,No action
3,7,A-greenhouse,0.016,No action
3,7,B-greenhouse,0.01,No action
3,7,C-field,0.008,No action
3,7,D-field,0.021,No action
3,8,A-greenhouse,0.014,No action
3,8,B-greenhouse,0.022,No action
3,8,C-field,0.02,No action
3,8,D-field,0.016,No action
3,9,A-greenhouse,0.012,No action
3,9,B-greenhouse,0.017,No action
3,9,C-field,0.02,No action
3,9,D-field,0.02,No action
3,10,A-greenhouse,0.001,No action
3,10,B-greenhouse,0.014,No action
3,10,C-field,0.009,No action
3,10,D-field,0.026,No action
3,11,A-greenhouse,0.028,No action
3,11,B-greenhouse,0.024,No action
3,11,C-field,0.0,No action
3,11,D-field,0.012,No action
3,12,A-greenhouse,0.002,No action
3,12,B-greenhouse,0.032,No action
3,12,C-field,0.183,Inspect leaves and irrigation line
3,12,D-field,0.049,No action
3,13,A-greenhouse,0.004,No action
3,13,B-greenhouse,0.021,No action
3,13,C-field,0.197,Inspect leaves and irrigation line
3,13,D-field,0.027,No action
3,14,A-greenhouse,0.0,No action
3,14,B-greenhouse,0.006,No action
3,14,C-field,0.156,Monitor moisture and canopy status
3,14,D-field,0.0,No action
3,15,A-greenhouse,0.007,No action
3,15,B-greenhouse,0.003,No action
3,15,C-field,0.109,Monitor moisture and canopy status
3,15,D-field,0.0,No action
3,16,A-greenhouse,0.0,No action
3,16,B-greenhouse,0.0,No action
3,16,C-field,0.07,No action
3,16,D-field,0.0,No action
3,17,A-greenhouse,0.0,No action
3,17,B-greenhouse,0.002,No action
3,17,C-field,0.068,No action
3,17,D-field,0.0,No action
3,18,A-greenhouse,0.0,No action
3,18,B-greenhouse,0.0,No action
3,18,C-field,0.087,No action
3,18,D-field,0.0,No action
3,19,A-greenhouse,0.0,No action
3,19,B-greenhouse,0.0,No action
3,19,C-field,0.0,No action
3,19,D-field,0.003,No action
3,20,A-greenhouse,0.0,No action
3,20,B-greenhouse,0.0,No action
3,20,C-field,0.0,No action
3,20,D-field,0.0,No action
3,21,A-greenhouse,0.003,No action
3,21,B-greenhouse,0.0,No action
3,21,C-field,0.0,No action
3,21,D-field,0.0,No action
3,22,A-greenhouse,0.0,No action
3,22,B-greenhouse,0.0,No action
3,22,C-field,0.0,No action
3,22,D-field,0.002,No action
3,23,A-greenhouse,0.003,No action
3,23,B-greenhouse,0.011,No action
3,23,C-field,0.0,No action
3,23,D-field,0.004,No action
4,0,A-greenhouse,0.006,No action
4,0,B-greenhouse,0.004,No action
4,0,C-field,0.001,No action
4,0,D-field,0.012,No action
4,1,A-greenhouse,0.0,No action
4,1,B-greenhouse,0.007,No action
4,1,C-field,0.012,No action
4,1,D-field,0.009,No action
4,2,A-greenhouse,0.008,No action
4,2,B-greenhouse,0.004,No action
4,2,C-field,0.003,No action
4,2,D-field,0.008,No action
4,3,A-greenhouse,0.015,No action
4,3,B-greenhouse,0.016,No action
4,3,C-field,0.002,No action
4,3,D-field,0.009,No action
4,4,A-greenhouse,0.019,No action
4,4,B-greenhouse,0.021,No action
4,4,C-field,0.021,No action
4,4,D-field,0.013,No action
4,5,A-greenhouse,0.023,No action
4,5,B-greenhouse,0.016,No action
4,5,C-field,0.014,No action
4,5,D-field,0.015,No action
4,6,A-greenhouse,0.024,No action
4,6,B-greenhouse,0.014,No action
4,6,C-field,0.021,No action
4,6,D-field,0.01,No action
4,7,A-greenhouse,0.008,No action
4,7,B-greenhouse,0.018,No action
4,7,C-field,0.005,No action
4,7,D-field,0.015,No action
4,8,A-greenhouse,0.021,No action
4,8,B-greenhouse,0.009,No action
4,8,C-field,0.016,No action
4,8,D-field,0.01,No action
4,9,A-greenhouse,0.022,No action
4,9,B-greenhouse,0.023,No action
4,9,C-field,0.018,No action
4,9,D-field,0.012,No action
4,10,A-greenhouse,0.019,No action
4,10,B-greenhouse,0.013,No action
4,10,C-field,0.006,No action
4,10,D-field,0.013,No action
4,11,A-greenhouse,0.01,No action
4,11,B-greenhouse,0.031,No action
4,11,C-field,0.011,No action
4,11,D-field,0.009,No action
4,12,A-greenhouse,0.0,No action
4,12,B-greenhouse,0.032,No action
4,12,C-field,0.008,No action
4,12,D-field,0.028,No action
4,13,A-greenhouse,0.006,No action
4,13,B-greenhouse,0.0,No action
4,13,C-field,0.019,No action
4,13,D-field,0.011,No action
4,14,A-greenhouse,0.008,No action
4,14,B-greenhouse,0.001,No action
4,14,C-field,0.008,No action
4,14,D-field,0.0,No action
4,15,A-greenhouse,0.001,No action
4,15,B-greenhouse,0.0,No action
4,15,C-field,0.004,No action
4,15,D-field,0.0,No action
4,16,A-greenhouse,0.0,No action
4,16,B-greenhouse,0.0,No action
4,16,C-field,0.0,No action
4,16,D-field,0.0,No action
4,17,A-greenhouse,0.0,No action
4,17,B-greenhouse,0.0,No action
4,17,C-field,0.0,No action
4,17,D-field,0.0,No action
4,18,A-greenhouse,0.0,No action
4,18,B-greenhouse,0.0,No action
4,18,C-field,0.0,No action
4,18,D-field,0.0,No action
4,19,A-greenhouse,0.0,No action
4,19,B-greenhouse,0.0,No action
4,19,C-field,0.0,No action
4,19,D-field,0.0,No action
4,20,A-greenhouse,0.0,No action
4,20,B-greenhouse,0.0,No action
4,20,C-field,0.0,No action
4,20,D-field,0.0,No action
4,21,A-greenhouse,0.0,No action
4,21,B-greenhouse,0.0,No action
4,21,C-field,0.0,No action
4,21,D-field,0.001,No action
4,22,A-greenhouse,0.0,No action
4,22,B-greenhouse,0.0,No action
4,22,C-field,0.002,No action
4,22,D-field,0.003,No action
4,23,A-greenhouse,0.003,No action
4,23,B-greenhouse,0.005,No action
4,23,C-field,0.0,No action
4,23,D-field,0.01,No action
5,0,A-greenhouse,0.011,No action
5,0,B-greenhouse,0.0,No action
5,0,C-field,0.004,No action
5,0,D-field,0.0,No action
5,1,A-greenhouse,0.003,No action
5,1,B-greenhouse,0.01,No action
5,1,C-field,0.012,No action
5,1,D-field,0.011,No action
5,2,A-greenhouse,0.014,No action
5,2,B-greenhouse,0.008,No action
5,2,C-field,0.012,No action
5,2,D-field,0.013,No action
5,3,A-greenhouse,0.005,No action
5,3,B-greenhouse,0.001,No action
5,3,C-field,0.017,No action
5,3,D-field,0.016,No action
5,4,A-greenhouse,0.015,No action
5,4,B-greenhouse,0.015,No action
5,4,C-field,0.014,No action
5,4,D-field,0.002,No action
5,5,A-greenhouse,0.015,No action
5,5,B-greenhouse,0.013,No action
5,5,C-field,0.02,No action
5,5,D-field,0.016,No action
5,6,A-greenhouse,0.011,No action
5,6,B-greenhouse,0.012,No action
5,6,C-field,0.013,No action
5,6,D-field,0.012,No action
5,7,A-greenhouse,0.017,No action
5,7,B-greenhouse,0.011,No action
5,7,C-field,0.023,No action
5,7,D-field,0.008,No action
5,8,A-greenhouse,0.022,No action
5,8,B-greenhouse,0.017,No action
5,8,C-field,0.012,No action
5,8,D-field,0.018,No action
5,9,A-greenhouse,0.02,No action
5,9,B-greenhouse,0.004,No action
5,9,C-field,0.019,No action
5,9,D-field,0.022,No action
5,10,A-greenhouse,0.012,No action
5,10,B-greenhouse,0.004,No action
5,10,C-field,0.023,No action
5,10,D-field,0.373,Inspect leaves and irrigation line
5,11,A-greenhouse,0.025,No action
5,11,B-greenhouse,0.014,No action
5,11,C-field,0.007,No action
5,11,D-field,0.379,Inspect leaves and irrigation line
5,12,A-greenhouse,0.014,No action
5,12,B-greenhouse,0.011,No action
5,12,C-field,0.008,No action
5,12,D-field,0.372,Inspect leaves and irrigation line
5,13,A-greenhouse,0.018,No action
5,13,B-greenhouse,0.002,No action
5,13,C-field,0.019,No action
5,13,D-field,0.35,Inspect leaves and irrigation line
5,14,A-greenhouse,0.001,No action
5,14,B-greenhouse,0.001,No action
5,14,C-field,0.015,No action
5,14,D-field,0.367,Inspect leaves and irrigation line
5,15,A-greenhouse,0.0,No action
5,15,B-greenhouse,0.0,No action
5,15,C-field,0.0,No action
5,15,D-field,0.335,Inspect leaves and irrigation line
5,16,A-greenhouse,0.0,No action
5,16,B-greenhouse,0.0,No action
5,16,C-field,0.0,No action
5,16,D-field,0.304,Inspect leaves and irrigation line
5,17,A-greenhouse,0.0,No action
5,17,B-greenhouse,0.0,No action
5,17,C-field,0.0,No action
5,17,D-field,0.001,No action
5,18,A-greenhouse,0.002,No action
5,18,B-greenhouse,0.004,No action
5,18,C-field,0.0,No action
5,18,D-field,0.0,No action
5,19,A-greenhouse,0.0,No action
5,19,B-greenhouse,0.0,No action
5,19,C-field,0.0,No action
5,19,D-field,0.0,No action
5,20,A-greenhouse,0.0,No action
5,20,B-greenhouse,0.0,No action
5,20,C-field,0.0,No action
5,20,D-field,0.0,No action
5,21,A-greenhouse,0.007,No action
5,21,B-greenhouse,0.0,No action
5,21,C-field,0.0,No action
5,21,D-field,0.0,No action
5,22,A-greenhouse,0.0,No action
5,22,B-greenhouse,0.0,No action
5,22,C-field,0.0,No action
5,22,D-field,0.005,No action
5,23,A-greenhouse,0.005,No action
5,23,B-greenhouse,0.006,No action
5,23,C-field,0.003,No action
5,23,D-field,0.0,No action
6,0,A-greenhouse,0.006,No action
6,0,B-greenhouse,0.009,No action
6,0,C-field,0.006,No action
6,0,D-field,0.0,No action
6,1,A-greenhouse,0.0,No action
6,1,B-greenhouse,0.007,No action
6,1,C-field,0.006,No action
6,1,D-field,0.0,No action
6,2,A-greenhouse,0.009,No action
6,2,B-greenhouse,0.003,No action
6,2,C-field,0.0,No action
6,2,D-field,0.004,No action
6,3,A-greenhouse,0.008,No action
6,3,B-greenhouse,0.006,No action
6,3,C-field,0.012,No action
6,3,D-field,0.009,No action
6,4,A-greenhouse,0.01,No action
6,4,B-greenhouse,0.003,No action
6,4,C-field,0.012,No action
6,4,D-field,0.016,No action
6,5,A-greenhouse,0.01,No action
6,5,B-greenhouse,0.013,No action
6,5,C-field,0.021,No action
6,5,D-field,0.019,No action
6,6,A-greenhouse,0.025,No action
6,6,B-greenhouse,0.013,No action
6,6,C-field,0.018,No action
6,6,D-field,0.018,No action
6,7,A-greenhouse,0.011,No action
6,7,B-greenhouse,0.006,No action
6,7,C-field,0.005,No action
6,7,D-field,0.008,No action
6,8,A-greenhouse,0.009,No action
6,8,B-greenhouse,0.014,No action
6,8,C-field,0.024,No action
6,8,D-field,0.023,No action
6,9,A-greenhouse,0.009,No action
6,9,B-greenhouse,0.018,No action
6,9,C-field,0.008,No action
6,9,D-field,0.023,No action
6,10,A-greenhouse,0.014,No action
6,10,B-greenhouse,0.007,No action
6,10,C-field,0.006,No action
6,10,D-field,0.443,Inspect leaves and irrigation line
6,11,A-greenhouse,0.023,No action
6,11,B-greenhouse,0.009,No action
6,11,C-field,0.028,No action
6,11,D-field,0.453,Inspect leaves and irrigation line
6,12,A-greenhouse,0.001,No action
6,12,B-greenhouse,0.019,No action
6,12,C-field,0.329,Inspect leaves and irrigation line
6,12,D-field,0.467,Inspect leaves and irrigation line
6,13,A-greenhouse,0.014,No action
6,13,B-greenhouse,0.005,No action
6,13,C-field,0.251,Inspect leaves and irrigation line
6,13,D-field,0.431,Inspect leaves and irrigation line
6,14,A-greenhouse,0.0,No action
6,14,B-greenhouse,0.001,No action
6,14,C-field,0.248,Inspect leaves and irrigation line
6,14,D-field,0.453,Inspect leaves and irrigation line
6,15,A-greenhouse,0.0,No action
6,15,B-greenhouse,0.0,No action
6,15,C-field,0.201,Inspect leaves and irrigation line
6,15,D-field,0.421,Inspect leaves and irrigation line
6,16,A-greenhouse,0.0,No action
6,16,B-greenhouse,0.0,No action
6,16,C-field,0.2,Inspect leaves and irrigation line
6,16,D-field,0.377,Inspect leaves and irrigation line
6,17,A-greenhouse,0.0,No action
6,17,B-greenhouse,0.0,No action
6,17,C-field,0.177,Monitor moisture and canopy status
6,17,D-field,0.0,No action
6,18,A-greenhouse,0.0,No action
6,18,B-greenhouse,0.0,No action
6,18,C-field,0.192,Inspect leaves and irrigation line
6,18,D-field,0.034,No action
6,19,A-greenhouse,0.0,No action
6,19,B-greenhouse,0.004,No action
6,19,C-field,0.009,No action
6,19,D-field,0.014,No action
6,20,A-greenhouse,0.0,No action
6,20,B-greenhouse,0.0,No action
6,20,C-field,0.016,No action
6,20,D-field,0.031,No action
6,21,A-greenhouse,0.0,No action
6,21,B-greenhouse,0.008,No action
6,21,C-field,0.0,No action
6,21,D-field,0.016,No action
6,22,A-greenhouse,0.0,No action
6,22,B-greenhouse,0.0,No action
6,22,C-field,0.0,No action
6,22,D-field,0.029,No action
6,23,A-greenhouse,0.0,No action
6,23,B-greenhouse,0.0,No action
6,23,C-field,0.033,No action
6,23,D-field,0.0,No action
7,0,A-greenhouse,0.013,No action
7,0,B-greenhouse,0.0,No action
7,0,C-field,0.014,No action
7,0,D-field,0.051,No action
7,1,A-greenhouse,0.019,No action
7,1,B-greenhouse,0.007,No action
7,1,C-field,0.003,No action
7,1,D-field,0.042,No action
7,2,A-greenhouse,0.008,No action
7,2,B-greenhouse,0.002,No action
7,2,C-field,0.008,No action
7,2,D-field,0.045,No action
7,3,A-greenhouse,0.011,No action
7,3,B-greenhouse,0.012,No action
7,3,C-field,0.026,No action
7,3,D-field,0.028,No action
7,4,A-greenhouse,0.011,No action
7,4,B-greenhouse,0.01,No action
7,4,C-field,0.006,No action
7,4,D-field,0.047,No action
7,5,A-greenhouse,0.014,No action
7,5,B-greenhouse,0.023,No action
7,5,C-field,0.056,No action
7,5,D-field,0.039,No action
7,6,A-greenhouse,0.028,No action
7,6,B-greenhouse,0.039,No action
7,6,C-field,0.012,No action
7,6,D-field,0.058,No action
7,7,A-greenhouse,0.016,No action
7,7,B-greenhouse,0.015,No action
7,7,C-field,0.055,No action
7,7,D-field,0.047,No action
7,8,A-greenhouse,0.01,No action
7,8,B-greenhouse,0.009,No action
7,8,C-field,0.047,No action
7,8,D-field,0.069,No action
7,9,A-greenhouse,0.009,No action
7,9,B-greenhouse,0.017,No action
7,9,C-field,0.058,No action
7,9,D-field,0.039,No action
7,10,A-greenhouse,0.022,No action
7,10,B-greenhouse,0.007,No action
7,10,C-field,0.052,No action
7,10,D-field,0.477,Inspect leaves and irrigation line
7,11,A-greenhouse,0.039,No action
7,11,B-greenhouse,0.036,No action
7,11,C-field,0.026,No action
7,11,D-field,0.526,Inspect leaves and irrigation line
7,12,A-greenhouse,0.022,No action
7,12,B-greenhouse,0.081,No action
7,12,C-field,0.016,No action
7,12,D-field,0.524,Inspect leaves and irrigation line
7,13,A-greenhouse,0.015,No action
7,13,B-greenhouse,0.024,No action
7,13,C-field,0.059,No action
7,13,D-field,0.482,Inspect leaves and irrigation line
7,14,A-greenhouse,0.0,No action
7,14,B-greenhouse,0.034,No action
7,14,C-field,0.036,No action
7,14,D-field,0.512,Inspect leaves and irrigation line
7,15,A-greenhouse,0.036,No action
7,15,B-greenhouse,0.037,No action
7,15,C-field,0.021,No action
7,15,D-field,0.435,Inspect leaves and irrigation line
7,16,A-greenhouse,0.041,No action
7,16,B-greenhouse,0.044,No action
7,16,C-field,0.035,No action
7,16,D-field,0.392,Inspect leaves and irrigation line
7,17,A-greenhouse,0.0,No action
7,17,B-greenhouse,0.042,No action
7,17,C-field,0.017,No action
7,17,D-field,0.052,No action
7,18,A-greenhouse,0.034,No action
7,18,B-greenhouse,0.039,No action
7,18,C-field,0.064,No action
7,18,D-field,0.038,No action
7,19,A-greenhouse,0.018,No action
7,19,B-greenhouse,0.042,No action
7,19,C-field,0.021,No action
7,19,D-field,0.056,No action
7,20,A-greenhouse,0.017,No action
7,20,B-greenhouse,0.032,No action
7,20,C-field,0.065,No action
7,20,D-field,0.036,No action
7,21,A-greenhouse,0.039,No action
7,21,B-greenhouse,0.056,No action
7,21,C-field,0.026,No action
7,21,D-field,0.036,No action
7,22,A-greenhouse,0.031,No action
7,22,B-greenhouse,0.017,No action
7,22,C-field,0.077,No action
7,22,D-field,0.06,No action
7,23,A-greenhouse,0.042,No action
7,23,B-greenhouse,0.017,No action
7,23,C-field,0.068,No action
7,23,D-field,0.047,No action
